,epoch,n_steps,avg_reward,avg_score,n_episodes,avg_q_value
191,192,960000,1.0,1.0,2,0.6031001771152019
192,193,965000,1.0,1.0,1,0.6031001771152019
193,194,970000,1.0,1.0,2,0.6005231254100799
194,195,975000,0.0,0.0,2,0.6005231254100799
195,196,980000,3.0,6.0,2,0.6201955141723156
196,197,985000,2.0,4.0,3,0.6201955141723156
197,198,990000,2.0,2.0,2,0.6072428399562836
198,199,995000,0.6666666666666666,0.6666666666666666,3,0.6072428399562836
199,200,1000000,2.0,2.0,1,0.6159031812191009
200,201,1005000,2.0,2.0,2,0.6159031812191009
201,202,1010000,1.0,1.0,1,0.6343158087074756
202,203,1015000,1.5,1.5,2,0.6343158087074756
203,204,1020000,1.0,1.0,23,0.6248251286804676
204,205,1025000,1.03125,1.03125,32,0.6248251286804676
205,206,1030000,1.2352941176470589,1.2352941176470589,17,0.6274625927925109
206,207,1035000,0.9375,0.9375,16,0.6274625927925109
207,208,1040000,2.6666666666666665,4.666666666666667,3,0.6443346364319325
208,209,1045000,3.0,6.0,2,0.6443346364319325
209,210,1050000,2.0,3.0,3,0.659186547935009
210,211,1055000,2.0,2.0,5,0.659186547935009
211,212,1060000,1.0,1.0,2,0.6563847555935383
212,213,1065000,2.0,2.0,2,0.6563847555935383
213,214,1070000,0.75,0.75,4,0.6525905132710934
214,215,1075000,2.111111111111111,2.111111111111111,9,0.6525905132710934
215,216,1080000,2.1666666666666665,2.6666666666666665,6,0.6519458628118038
216,217,1085000,2.0,2.0,5,0.6519458628118038
217,218,1090000,2.0,2.0,2,0.6561163464725017
218,219,1095000,2.3333333333333335,2.3333333333333335,3,0.6561163464725017
219,220,1100000,2.0,2.0,4,0.6660145378530026
220,221,1105000,2.0,2.0,3,0.6660145378530026
221,222,1110000,1.5,1.5,2,0.6530152494609356
222,223,1115000,1.6666666666666667,1.6666666666666667,3,0.6530152494609356
223,224,1120000,2.0,2.0,5,0.6833551032602787
224,225,1125000,2.0,2.0,4,0.6833551032602787
225,226,1130000,2.0,2.0,4,0.7050718741714954
226,227,1135000,2.0,2.0,4,0.7050718741714954
227,228,1140000,2.0,2.0,3,0.7165153786957263
228,229,1145000,2.5,4.0,4,0.7165153786957263
229,230,1150000,1.7777777777777777,1.7777777777777777,9,0.7233459524571896
230,231,1155000,1.6,1.6,10,0.7233459524571896
231,232,1160000,1.8,1.8,5,0.73173050943017
232,233,1165000,2.0,2.0,6,0.73173050943017
233,234,1170000,2.0,2.0,2,0.7350390717446804
234,235,1175000,1.5,1.5,2,0.7350390717446804
235,236,1180000,0.8787878787878788,0.8787878787878788,33,0.7396826583743096
236,237,1185000,1.1,1.1,30,0.7396826583743096
237,238,1190000,0.8666666666666667,0.8666666666666667,15,0.7372182776749134
238,239,1195000,0.8666666666666667,0.8666666666666667,15,0.7372182776749134
239,240,1200000,2.0,2.0,5,0.7267000046014785
240,241,1205000,2.0,2.0,5,0.7267000046014785
241,242,1210000,3.3333333333333335,6.333333333333333,3,0.7399965322077274
242,243,1215000,2.5,4.0,2,0.7399965322077274
243,244,1220000,1.125,1.125,8,0.7279450508356095
244,245,1225000,1.6,1.6,5,0.7279450508356095
