,q_values
349,10.964567184448242
350,12.112236976623535
351,11.200907707214355
352,12.35507869720459
353,12.95173168182373
354,12.656020164489746
355,13.199522972106934
356,16.371646881103516
357,12.171567916870117
358,11.847719192504883
359,11.046313285827637
360,16.095745086669922
361,11.167459487915039
362,19.181018829345703
363,16.877120971679688
364,10.923080444335938
365,11.535526275634766
366,10.533111572265625
367,12.751283645629883
368,11.735095024108887
369,11.874645233154297
370,16.002580642700195
371,10.144798278808594
372,11.559999465942383
373,17.110942840576172
374,11.394726753234863
375,11.595650672912598
376,13.835981369018555
377,11.68268871307373
378,10.190581321716309
379,15.810444831848145
380,11.557066917419434
381,13.971189498901367
382,11.822964668273926
383,15.884771347045898
384,11.135163307189941
385,12.371338844299316
386,12.941276550292969
387,13.672019958496094
388,14.644734382629395
389,16.128999710083008
390,8.350160598754883
391,15.121001243591309
392,15.932600975036621
393,11.602293968200684
394,10.47811222076416
395,10.721238136291504
396,11.416438102722168
397,11.380311012268066
398,15.244475364685059
399,14.685380935668945
400,12.19167709350586
401,15.816741943359375
402,15.1530179977417
403,15.654438972473145
404,18.47913932800293
405,12.049503326416016
406,17.7745304107666
407,13.264638900756836
408,14.916598320007324
409,17.013023376464844
410,10.951948165893555
411,17.852157592773438
412,15.368406295776367
413,10.45642375946045
414,17.38852310180664
415,12.949132919311523
416,13.758609771728516
417,14.80689525604248
418,15.160574913024902
419,14.764727592468262
420,13.604477882385254
421,9.223626136779785
422,14.292381286621094
423,12.874895095825195
424,13.996368408203125
425,16.6943302154541
426,15.873409271240234
427,11.106817245483398
428,16.391355514526367
429,11.841902732849121
430,11.658884048461914
431,15.794922828674316
432,15.72228717803955
433,12.447355270385742
434,13.50106430053711
435,13.056441307067871
436,15.746317863464355
437,15.465653419494629
438,9.635972023010254
439,12.428594589233398
440,14.160890579223633
441,14.530001640319824
442,12.361419677734375
443,15.672819137573242
444,15.789803504943848
445,13.483238220214844
446,14.904684066772461
447,12.250621795654297
448,12.374378204345703
449,17.206920623779297
450,11.295056343078613
451,15.98092269897461
452,11.308235168457031
453,12.686491012573242
454,14.9461669921875
455,15.415609359741211
456,14.072160720825195
457,11.449030876159668
458,11.634434700012207
459,10.952886581420898
460,10.052422523498535
461,11.50921630859375
462,13.92184829711914
463,14.854317665100098
464,14.124916076660156
465,11.689140319824219
466,13.692402839660645
467,8.813027381896973
468,11.725476264953613
469,15.413420677185059
470,11.858208656311035
471,11.647902488708496
472,17.69948959350586
473,15.760884284973145
474,20.64820098876953
475,14.079069137573242
476,12.236433029174805
477,14.541627883911133
478,10.495755195617676
479,13.769704818725586
480,16.60446548461914
481,10.412728309631348
482,13.907158851623535
483,16.888931274414062
484,11.654226303100586
485,12.567649841308594
486,11.413864135742188
487,11.129796981811523
488,17.73311996459961
489,20.180830001831055
490,11.863856315612793
491,8.566485404968262
492,12.777454376220703
493,16.058565139770508
494,12.232457160949707
495,15.159689903259277
